Entity,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Country
Santa Cruz,300.0%,0.0%,0.0%,0.0%,0.0%,150.0%,100.0%,433.33,0.0%,0.0%,0.0%,0.0%,150.0%,0.0%,133.33,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bolivia
Sucre,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,Bolivia
Expansion Villa Imperial - Bolivia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bolivia
Expansion Gran Chaco - Bolivia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bolivia
Expansion Oriente - Bolivia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bolivia
Expansion Oruro - Bolivia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,Bolivia
BANjA LUKA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bosnia and Herzegovina
MOSTAR,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bosnia and Herzegovina
SARAJEVO,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bosnia and Herzegovina
Botswana International University of Science and Technology,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Botswana
GIPS,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Botswana
LIMKOKWING,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Botswana
UNIVERSITY OF BOTSWANA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Botswana
BIUST,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Botswana
BIUST,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Botswana
BIUST,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Botswana
BIUST,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Botswana
BIUST,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Botswana
BIUST,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Botswana
FLORIANÓPOLIS,30.0%,25.0%,0.0%,0.0%,25.0%,50.0%,0.0%,95.0,50.0%,0.0%,0.0%,75.0%,225.0%,0.0%,20.0,8.33%,0.0%,0.0%,75.0%,0.0%,0.0%,Brazil
SALVADOR,33.33%,40.0%,0.0%,0.0%,30.77%,0.0%,0.0%,112.5,110.0%,0.0%,0.0%,61.54%,0.0%,100.0%,45.83,60.0%,0.0%,0.0%,30.77%,0.0%,100.0%,Brazil
ITAJUBA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
GETÚLIO VARGAS,45.45%,0.0%,0.0%,0.0%,50.0%,33.33%,0.0%,118.18,0.0%,0.0%,0.0%,50.0%,150.0%,100.0%,18.18,0.0%,0.0%,0.0%,0.0%,16.67%,0.0%,Brazil
ARACAJU,32.0%,35.71%,0.0%,0.0%,0.0%,100.0%,100.0%,56.0,71.43%,0.0%,0.0%,0.0%,150.0%,100.0%,40.0,71.43%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
RECIFE,80.0%,0.0%,50.0%,0.0%,0.0%,300.0%,0.0%,220.0,0.0%,50.0%,0.0%,0.0%,1000.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
CHAPECO,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
FORTALEZA,56.67%,91.67%,83.33%,0.0%,10.0%,0.0%,0.0%,133.33,150.0%,16.67%,0.0%,50.0%,700.0%,0.0%,33.33,58.33%,0.0%,0.0%,30.0%,0.0%,0.0%,Brazil
PORTO ALEGRE,160.0%,0.0%,0.0%,0.0%,0.0%,80.0%,0.0%,440.0,0.0%,0.0%,0.0%,0.0%,320.0%,0.0%,60.0,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,Brazil
JOAO PESSOA,33.33%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,150.0,50.0%,0.0%,0.0%,200.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
SANTOS,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
UBERLÂNDIA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,300.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
SOROCABA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
MARINGÁ,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,200.0%,150.0%,0.0%,33.33,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,Brazil
SANTA MARIA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
BELÉM,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
BRASÍLIA,18.18%,0.0%,0.0%,0.0%,0.0%,80.0%,0.0%,45.45,0.0%,0.0%,0.0%,17.65%,100.0%,0.0%,9.09,0.0%,0.0%,0.0%,11.76%,0.0%,0.0%,Brazil
BELO HORIZONTE,85.71%,0.0%,50.0%,0.0%,150.0%,66.67%,0.0%,228.57,0.0%,100.0%,0.0%,150.0%,333.33%,0.0%,28.57,0.0%,50.0%,0.0%,0.0%,33.33%,0.0%,Brazil
MC BRASIL,69.23%,0.0%,69.23%,0.0%,0.0%,0.0%,0.0%,30.77,0.0%,30.77%,0.0%,0.0%,0.0%,0.0%,7.69,0.0%,7.69%,0.0%,0.0%,0.0%,0.0%,Brazil
RIO DE JANEIRO,108.33%,120.0%,0.0%,0.0%,166.67%,50.0%,0.0%,216.67,180.0%,0.0%,0.0%,333.33%,150.0%,0.0%,125.0,140.0%,0.0%,0.0%,266.67%,0.0%,0.0%,Brazil
TERESINA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,150.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
PELOTAS,250.0%,200.0%,0.0%,0.0%,0.0%,0.0%,0.0%,350.0,250.0%,0.0%,0.0%,0.0%,0.0%,0.0%,200.0,150.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
CURITIBA,17.39%,28.57%,0.0%,0.0%,0.0%,100.0%,0.0%,182.61,42.86%,0.0%,0.0%,20.0%,1700.0%,0.0%,17.39,28.57%,0.0%,0.0%,6.67%,100.0%,0.0%,Brazil
USP,85.71%,200.0%,0.0%,0.0%,87.5%,75.0%,0.0%,192.86,300.0%,0.0%,0.0%,112.5%,325.0%,0.0%,42.86,200.0%,0.0%,0.0%,37.5%,25.0%,0.0%,Brazil
MANAUS,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,150.0,0.0%,0.0%,0.0%,0.0%,200.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
LIMEIRA,25.0%,66.67%,0.0%,0.0%,12.5%,0.0%,0.0%,100.0,66.67%,0.0%,0.0%,37.5%,500.0%,0.0%,16.67,33.33%,0.0%,0.0%,12.5%,0.0%,0.0%,Brazil
SAO CARLOS,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
VITÓRIA,200.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,400.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
ABC,150.0%,0.0%,0.0%,0.0%,100.0%,200.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
FRANCA,300.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,600.0,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
BAURU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
BLUMENAU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
Maceio,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Brazil
MACKENZIE,78.57%,100.0%,0.0%,0.0%,60.0%,133.33%,0.0%,150.0,100.0%,0.0%,0.0%,80.0%,400.0%,0.0%,50.0,100.0%,0.0%,0.0%,40.0%,66.67%,0.0%,Brazil
MC Bulgaria,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bulgaria
Sofia University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bulgaria
Sofia UNWE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Bulgaria
AIESEC in Ouagadougou,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Burkina Faso
BF expansion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Burkina Faso
Bobo-Dioulasso,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Burkina Faso
Koudougou,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Burkina Faso
Assomada (Expansion),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Cabo Verde
PRAIA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Cabo Verde
IFL,47.37%,50.0%,0.0%,100.0%,0.0%,0.0%,0.0%,52.63,56.25%,0.0%,100.0%,0.0%,0.0%,0.0%,31.58,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,Cambodia
LUCT,66.67%,66.67%,0.0%,0.0%,0.0%,0.0%,0.0%,122.22,88.89%,0.0%,0.0%,0.0%,0.0%,0.0%,44.44,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,Cambodia
MC Cambodia,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Cambodia
Phnom Penh,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,200.0,200.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Cambodia
Wat Phnom,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Cambodia
Bamenda,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Cameroon
Bangangté,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Cameroon
Bangangté,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Cameroon
Bangangté,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Cameroon
Bangangté,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Cameroon
Buea,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Cameroon
Douala,150.0%,0.0%,0.0%,0.0%,100.0%,0.0%,200.0%,200.0,0.0%,0.0%,0.0%,100.0%,0.0%,200.0%,50.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,Cameroon
DSCHANG,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Cameroon
LC Yaounde,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Cameroon
Maroua,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Cameroon
MC Canada,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
YORK,33.33%,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,66.67,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
WINDSOR,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
MEMORIAL,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
HEC,33.33%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,33.33,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
MANITOBA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
Brock,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
GUELPH,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
HALIFAX,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
MCMASTER,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
CONCORDIA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
SFU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
OTTAWA,50.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
McGill (Macdonald),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
LAVAL,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
SHERBROOKE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
Queen's,50.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
MRU,66.67%,0.0%,0.0%,0.0%,66.67%,0.0%,0.0%,166.67,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
EDMONTON,33.33%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,66.67,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
MCGILL,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
WESTERN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
LAURIER,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
CALGARY,100.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,533.33,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,66.67,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,Canada
UBC,57.14%,0.0%,0.0%,0.0%,57.14%,0.0%,0.0%,85.71,0.0%,0.0%,0.0%,57.14%,0.0%,0.0%,14.29,0.0%,0.0%,0.0%,14.29%,0.0%,0.0%,Canada
UQAM,83.33%,0.0%,0.0%,0.0%,125.0%,0.0%,0.0%,116.67,0.0%,100.0%,0.0%,125.0%,0.0%,0.0%,16.67,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,Canada
CARLETON,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
SASKATOON,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
Toronto Metropolitan University,33.33%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,166.67,0.0%,200.0%,0.0%,100.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
Toronto,50.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,50.0,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
VICTORIA,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
WATERLOO,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
OSHAWA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
MONCTON,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Canada
CONCEPCIÓN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Chile
MC CHILE,71.43%,0.0%,71.43%,0.0%,0.0%,0.0%,0.0%,185.71,0.0%,185.71%,0.0%,0.0%,0.0%,0.0%,28.57,0.0%,28.57%,0.0%,0.0%,0.0%,0.0%,Chile
SANTIAGO DE CHILE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Chile
TEMUCO,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Chile
EAN,100.0%,0.0%,0.0%,0.0%,0.0%,200.0%,50.0%,433.33,0.0%,0.0%,0.0%,0.0%,1300.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Colombia
Javeriana,100.0%,0.0%,0.0%,0.0%,100.0%,200.0%,0.0%,271.43,0.0%,0.0%,200.0%,180.0%,500.0%,0.0%,100.0,0.0%,0.0%,0.0%,120.0%,0.0%,0.0%,Colombia
NEIVA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Colombia
POPAYAN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Colombia
JAVERIANA CALI,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Colombia
